Factors	Number	Percent	

Failure to yield right of way	1856	30.6	
Improper crossing of roadway or intersection	1294	21.3	
In roadway improperly (standing, lying, working, playing)	906	14.9	
Not visible (dark clothing, no lighting, etc.)	888	14.6	
Under the influence of alcohol, drugs, or medication	709	11.7	
Darting or running into road	596	9.8	
Failure to obey traffic signs, signals, or officer	281	4.6	
Inattentive (talking, eating, etc.)	144	2.4	
Physical impairment	140	2.3	
Wrong-way walking	92	1.5	
Traveling on Prohibited Trafficways	70	1.2	
Emotional (e.g. depression, angry, disturbed)	49	0.8	
Entering/exiting parked/standing vehicle	33	0.5	
Vision obscured (by rain, snow, parked vehicle, sign, etc.)	23	0.4	
Ill, blackout	13	0.2	
Non-Motorist pushing  vehicle	7	0.1	
Portable Electronic Devices	7	0.1	
Asleep or fatigued	5	0.1	
Other factors	176	2.9	
None Reported	539	8.9	
Unknown	1107	18.2	
Total	6075	100.0	
