Factors	Number	Percent	

Failure to yield right of way	1258	25.6	
Not visible (dark clothing, no lighting, etc.)	784	16.0	
In roadway improperly (standing, lying, working, playing)	722	14.7	
Improper crossing of roadway or intersection	681	13.9	
Under the influence of alcohol, drugs, or medication	622	12.7	
Darting or running into road	591	12.0	
Failure to obey traffic signs, signals, or officer	190	3.9	
Inattentive (talking, eating, etc.)	107	2.2	
Physical impairment	96	2.0	
Traveling on Prohibited Trafficways	63	1.3	
Wrong-way walking	63	1.3	
Entering/exiting parked/standing vehicle	37	0.8	
Emotional (e.g. depression, angry, disturbed)	26	0.5	
Vision obscured (by rain, snow, parked vehicle, sign, etc.)	16	0.3	
Ill, blackout	10	0.2	
Non-Motorist pushing  vehicle	7	0.1	
Asleep or fatigued	5	0.1	
Portable Electronic Devices	1	0.0	
Other factors	148	3.0	
None Reported	656	13.4	
Unknown	768	15.6	
Total	4910	100.0	
