Factors	Number	Percent	

Failure to yield right of way	2917	45.8	
Improper crossing of roadway or intersection	1277	20.0	
In roadway improperly (standing, lying, working, playing)	936	14.7	
Not visible (dark clothing, no lighting, etc.)	881	13.8	
Under the influence of alcohol, drugs, or medication	635	10.0	
Darting or running into road	589	9.2	
Failure to obey traffic signs, signals, or officer	291	4.6	
Physical impairment	126	2.0	
Inattentive (talking, eating, etc.)	125	2.0	
Traveling on Prohibited Trafficways	108	1.7	
Wrong-way walking	77	1.2	
Entering/exiting parked/standing vehicle	42	0.7	
Emotional (e.g. depression, angry, disturbed)	37	0.6	
Ill, blackout	14	0.2	
Portable Electronic Devices	7	0.1	
Vision obscured (by rain, snow, parked vehicle, sign, etc.)	7	0.1	
Asleep or fatigued	4	0.1	
Non-Motorist pushing  vehicle	3	0.0	
Other factors	188	2.9	
None Reported	499	7.8	
Unknown	1129	17.7	
Total	6374	100.0	
